Date,Amount
2020-06-14 01:25,104
2020-06-14 01:25,104
2020-06-14 01:25,104
2020-06-14 01:25,104
2020-06-14 01:25,104
2020-06-14 10:22,48
2020-06-14 10:22,48
2020-06-14 10:22,48
2020-06-14 10:22,48
2020-06-14 10:28,58
2020-06-14 11:09,73
2020-06-14 11:14,80
2020-06-14 11:19,81
2020-06-14 11:24,79
2020-06-14 11:29,79
2020-06-14 11:34,82
2020-06-14 11:39,95
2020-06-14 11:44,86
2020-06-14 11:49,87
2020-06-14 11:54,86
2020-06-14 11:59,84
2020-06-14 12:04,87
2020-06-14 12:09,94
2020-06-14 12:14,88
2020-06-14 12:19,90
2020-06-14 12:24,87
2020-06-14 12:29,106
2020-06-14 12:34,102
2020-06-14 12:39,104
2020-06-14 12:44,105
2020-06-14 12:49,103
2020-06-14 12:54,112
2020-06-14 12:59,103
2020-06-14 13:04,108
2020-06-14 13:09,112
2020-06-14 13:14,119
2020-06-14 13:19,117
2020-06-14 13:24,113
2020-06-14 13:29,116
2020-06-14 13:34,112
2020-06-14 13:39,116
2020-06-14 13:44,122
2020-06-14 13:49,126
2020-06-14 15:46,132
2020-06-14 15:51,131
2020-06-14 15:56,119
2020-06-14 16:01,129
2020-06-14 16:06,134
2020-06-14 16:11,128
2020-06-14 16:16,134
2020-06-14 16:21,136
2020-06-14 16:26,139
2020-06-14 16:31,139
2020-06-14 16:36,142
2020-06-14 16:41,142
2020-06-14 16:46,142
2020-06-14 16:51,144
2020-06-14 16:56,143
2020-06-14 17:01,143
2020-06-14 17:06,145
2020-06-14 17:11,144
2020-06-14 17:16,140
2020-06-14 17:21,143
2020-06-14 17:26,149
2020-06-14 17:31,146
2020-06-14 17:36,153
2020-06-14 17:41,151
2020-06-14 17:46,152
2020-06-14 17:51,155
2020-06-14 19:35,133
2020-06-14 19:40,132
2020-06-14 19:45,132
2020-06-14 19:50,129
2020-06-14 19:55,138
2020-06-14 20:00,136
2020-06-14 20:05,132
2020-06-14 20:10,127
2020-06-14 20:15,129
2020-06-14 20:20,131
2020-06-14 20:25,133
2020-06-14 20:30,122
2020-06-14 20:35,121
2020-06-14 20:40,120
2020-06-14 20:45,126
2020-06-14 20:50,127
2020-06-14 20:55,131
2020-06-14 21:00,140
2020-06-14 21:05,148
2020-06-14 21:10,147
2020-06-14 21:15,152
2020-06-14 21:20,159
2020-06-14 21:25,158
2020-06-14 21:30,157
2020-06-14 21:35,155
2020-06-14 21:40,149
2020-06-14 21:45,154
2020-06-14 21:50,158
2020-06-14 21:55,145
2020-06-14 22:00,147
2020-06-14 22:05,148
2020-06-14 22:10,144
2020-06-14 22:15,131
2020-06-14 22:20,129
2020-06-14 22:25,129
2020-06-14 22:30,137
2020-06-14 22:35,128
2020-06-14 22:40,132
2020-06-14 22:45,132
2020-06-14 22:50,131
2020-06-14 22:55,130
2020-06-14 23:00,136
2020-06-14 23:05,139
2020-06-14 23:10,143
2020-06-14 23:15,146
2020-06-14 23:20,146
2020-06-14 23:25,142
2020-06-14 23:30,133
2020-06-14 23:35,129
2020-06-14 23:40,128
2020-06-14 23:45,128
2020-06-14 23:50,131
2020-06-14 23:55,126
